epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3535.77,0.86862,0.637,1.05335,0.87804,0.92632,0.86166,0.69076,0.84232,0.66735,0.93333,0.0004952,0.0004952,0.0004952
78,3579.55,0.9054,0.66029,1.05284,0.87769,0.92632,0.87026,0.68374,0.84992,0.62911,0.92956,0.0004754,0.0004754,0.0004754
79,3620.87,0.91687,0.64066,1.09245,0.87765,0.93684,0.87947,0.69396,0.88524,0.62574,0.94464,0.0004556,0.0004556,0.0004556
80,3663.16,0.90498,0.74278,1.08258,0.8765,0.89652,0.87023,0.68631,0.87174,0.64289,0.93858,0.0004358,0.0004358,0.0004358
81,3707.06,0.93627,0.83176,1.12115,0.87543,0.8877,0.86272,0.68017,0.85153,0.65274,0.94313,0.000416,0.000416,0.000416
82,3760.04,0.8667,0.64796,1.06313,0.88496,0.89076,0.87737,0.68866,0.83534,0.62756,0.92944,0.0003962,0.0003962,0.0003962
83,3809.98,0.85067,0.62056,1.04283,0.88529,0.89365,0.88461,0.69753,0.86188,0.63372,0.93704,0.0003764,0.0003764,0.0003764
84,3854.85,0.86288,0.60779,1.06487,0.88045,0.88421,0.89152,0.71016,0.85131,0.65027,0.93609,0.0003566,0.0003566,0.0003566
85,3899.89,0.84187,0.58504,1.05661,0.86874,0.90568,0.88831,0.71019,0.84609,0.66513,0.93167,0.0003368,0.0003368,0.0003368
86,3944.95,0.83678,0.61192,1.01857,0.87667,0.89792,0.88509,0.70859,0.84286,0.67386,0.92926,0.000317,0.000317,0.000317
87,3990.3,0.85151,0.63672,1.05428,0.86298,0.90526,0.8841,0.70695,0.84353,0.67873,0.93191,0.0002972,0.0002972,0.0002972
88,4041.29,0.86264,0.63846,1.06268,0.86254,0.9247,0.87105,0.69148,0.85014,0.66559,0.93273,0.0002774,0.0002774,0.0002774
89,4093.39,0.82373,0.59056,1.03276,0.8626,0.92523,0.86463,0.68886,0.84634,0.65294,0.93073,0.0002576,0.0002576,0.0002576
90,4149.22,0.84419,0.62829,1.0521,0.84711,0.93684,0.87458,0.69687,0.85681,0.64058,0.93738,0.0002378,0.0002378,0.0002378
91,4195.29,0.83642,0.63612,1.0419,0.84898,0.92632,0.87573,0.69658,0.8454,0.6207,0.93709,0.000218,0.000218,0.000218
92,4240.93,0.81075,0.57758,1.04133,0.87068,0.92133,0.86882,0.69443,0.83654,0.59216,0.93262,0.0001982,0.0001982,0.0001982
93,4284.7,0.84262,0.60755,1.06228,0.88604,0.90026,0.86537,0.69103,0.83791,0.58452,0.9331,0.0001784,0.0001784,0.0001784
94,4334.86,0.82384,0.57906,1.03322,0.85559,0.93548,0.86891,0.69061,0.84164,0.58838,0.93541,0.0001586,0.0001586,0.0001586
95,4386.98,0.80627,0.58142,1.03441,0.8554,0.93407,0.86542,0.68822,0.84166,0.60008,0.93385,0.0001388,0.0001388,0.0001388
96,4439.51,0.79135,0.5195,1.04023,0.85557,0.93532,0.86648,0.68946,0.8376,0.60187,0.9322,0.000119,0.000119,0.000119
97,4499.69,0.80949,0.582,1.03113,0.85033,0.93684,0.86605,0.69369,0.82908,0.60774,0.93065,9.92e-05,9.92e-05,9.92e-05
98,4628.94,0.80385,0.57507,1.03769,0.85563,0.93684,0.87386,0.70139,0.83064,0.61113,0.93387,7.94e-05,7.94e-05,7.94e-05
99,4685.24,0.81359,0.56587,1.05777,0.86265,0.92559,0.87509,0.69924,0.83148,0.60753,0.93416,5.96e-05,5.96e-05,5.96e-05
100,4754.79,0.79572,0.57872,1.02722,0.86086,0.92632,0.86659,0.69242,0.83092,0.60589,0.93347,3.98e-05,3.98e-05,3.98e-05
