epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3991.83,0.76646,0.66226,0.96788,0.91552,0.90533,0.96504,0.73655,0.91032,0.73385,1.07043,9.90192e-05,9.90192e-05,9.90192e-05
86,4037.04,0.77153,0.65866,0.97939,0.92368,0.90514,0.9663,0.73609,0.90121,0.71862,1.06652,9.3198e-05,9.3198e-05,9.3198e-05
87,4081.96,0.78521,0.66291,0.968,0.91735,0.90962,0.96655,0.73482,0.9101,0.70913,1.07162,8.73768e-05,8.73768e-05,8.73768e-05
88,4127.15,0.77349,0.62746,0.97267,0.90428,0.92404,0.96801,0.73877,0.89932,0.70625,1.06656,8.15556e-05,8.15556e-05,8.15556e-05
89,4171.99,0.77541,0.64775,0.97647,0.91067,0.92177,0.96909,0.74442,0.89278,0.70378,1.06194,7.57344e-05,7.57344e-05,7.57344e-05
90,4216.81,0.75628,0.64156,0.95972,0.9187,0.91509,0.96861,0.73823,0.88679,0.70531,1.06213,6.99132e-05,6.99132e-05,6.99132e-05
91,4261.82,0.73169,0.70841,0.96568,0.89508,0.92152,0.96607,0.73746,0.89151,0.72528,1.07197,6.4092e-05,6.4092e-05,6.4092e-05
92,4307.41,0.72546,0.71873,0.96943,0.91565,0.89745,0.96444,0.73964,0.90459,0.72415,1.06267,5.82708e-05,5.82708e-05,5.82708e-05
93,4353.16,0.71298,0.68916,0.94844,0.87908,0.93835,0.96599,0.74319,0.90017,0.71466,1.05951,5.24496e-05,5.24496e-05,5.24496e-05
94,4401,0.725,0.67706,0.96519,0.88198,0.93201,0.9643,0.73817,0.89271,0.71459,1.05981,4.66284e-05,4.66284e-05,4.66284e-05
95,4445.76,0.71666,0.67615,0.95659,0.88949,0.92687,0.96396,0.73603,0.88682,0.71904,1.0628,4.08072e-05,4.08072e-05,4.08072e-05
96,4494.28,0.696,0.67469,0.95072,0.89836,0.91359,0.96559,0.73679,0.89199,0.73443,1.07012,3.4986e-05,3.4986e-05,3.4986e-05
97,4544.68,0.70741,0.66544,0.95271,0.8985,0.91512,0.96483,0.73061,0.89887,0.74211,1.07249,2.91648e-05,2.91648e-05,2.91648e-05
98,4591.91,0.70234,0.65858,0.94502,0.89472,0.92398,0.96586,0.73092,0.8985,0.73614,1.07121,2.33436e-05,2.33436e-05,2.33436e-05
99,4639.18,0.71264,0.6729,0.96135,0.89666,0.92371,0.96561,0.72446,0.8978,0.73253,1.07111,1.75224e-05,1.75224e-05,1.75224e-05
100,4684.19,0.70995,0.67452,0.94395,0.89828,0.9211,0.96579,0.72236,0.89802,0.72637,1.07188,1.17012e-05,1.17012e-05,1.17012e-05
